n,Metric,mean_diff,t,p_value,Cohen_d
8,J,-4.35,-2.48,1.32e-02,-0.0785
8,C,-3.52,-3.14,1.75e-03,-0.0993
8,t_f,-0.83,-1.13,2.59e-01,-0.0357
8,phi,-0.00,-2.55,1.08e-02,-0.0807
16,J,-3.12,-2.01,4.50e-02,-0.0635
16,C,0.51,0.53,5.95e-01,0.0168
16,t_f,-3.63,-4.97,7.78e-07,-0.1572
16,phi,0.00,1.87,6.14e-02,0.0592
32,J,6.22,3.85,1.27e-04,0.1217
32,C,7.08,7.40,2.84e-13,0.2341
32,t_f,-0.86,-1.06,2.90e-01,-0.0335
32,phi,0.00,0.72,4.72e-01,0.0228
64,J,45.36,19.18,4.48e-70,0.6066
64,C,31.64,22.08,2.74e-88,0.6982
64,t_f,13.72,12.33,1.34e-32,0.3898
64,phi,0.00,0.07,9.44e-01,0.0022
128,J,118.76,43.56,3.74e-233,1.3775
128,C,77.91,46.66,3.68e-253,1.4755
128,t_f,40.86,33.09,1.05e-162,1.0463
128,phi,-0.00,-2.72,6.74e-03,-0.0859
256,J,164.28,72.25,0.00e+00,2.2849
256,C,106.69,78.16,0.00e+00,2.4716
256,t_f,57.59,51.50,2.11e-283,1.6285
256,phi,-0.00,-2.02,4.34e-02,-0.0639
512,J,172.15,76.39,0.00e+00,2.4158
512,C,112.39,85.20,0.00e+00,2.6941
512,t_f,59.76,52.15,2.36e-287,1.6490
512,phi,-0.00,-2.20,2.78e-02,-0.0697
1024,J,175.76,74.92,0.00e+00,2.3692
1024,C,114.73,82.69,0.00e+00,2.6147
1024,t_f,61.03,53.21,8.88e-294,1.6825
1024,phi,-0.00,-2.11,3.48e-02,-0.0668
